date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2014-02-07,pegged,calibration rejected (boundary-pegged),0.011295838211526691,17.0,140.0,688.0
2014-02-10,pegged,calibration rejected (boundary-pegged),0.013953657350703362,16.0,122.0,481.0
2014-02-11,pegged,calibration rejected (boundary-pegged),0.01021881279611234,15.0,142.0,631.0
2014-02-12,pegged,calibration rejected (boundary-pegged),0.010525141215831185,15.0,113.0,538.0
2014-02-13,pegged,calibration rejected (boundary-pegged),0.010712969485414083,16.0,131.0,618.0
2014-02-18,pegged,calibration rejected (boundary-pegged),0.01046431613722351,16.0,103.0,472.0
2014-02-19,pegged,calibration rejected (boundary-pegged),0.009907706825947342,17.0,129.0,614.0
2014-02-20,pegged,calibration rejected (boundary-pegged),0.011396616085681191,15.0,123.0,515.0
2014-02-21,pegged,calibration rejected (boundary-pegged),0.008946265212291145,15.0,126.0,503.0
2014-02-24,pegged,calibration rejected (boundary-pegged),0.01002812848252153,15.0,121.0,610.0
2014-02-25,pegged,calibration rejected (boundary-pegged),0.014335391050914718,17.0,126.0,522.0
2014-02-26,pegged,calibration rejected (boundary-pegged),0.008997422386057023,14.0,121.0,526.0
2014-02-27,pegged,calibration rejected (boundary-pegged),0.012044942328858237,16.0,119.0,576.0
2014-02-28,pegged,calibration rejected (boundary-pegged),0.00830047903387414,15.0,141.0,619.0
