strike,maturity_days,moneyness,w,price
1120.2433,160,0.875,put,31.56502764436816
1152.2503,160,0.9,put,38.30836793759521
1184.2572,160,0.925,put,46.2096162177077
1216.2642,160,0.95,put,55.42535320125851
1248.2711,160,0.975,put,66.13410095985846
1280.2781,160,1.0,call,67.77873538645895
1312.2851,160,1.025,call,50.16753512322267
1344.292,160,1.05,call,34.84965533024688
1376.299,160,1.075,call,22.243388607904947
1408.3059,160,1.1,call,12.777624149981516
1440.3129,160,1.125,call,6.584685772047112
1472.3198,160,1.15,call,3.1288528514983716
1504.3268,160,1.175,call,1.4255365527571806
1536.3337,160,1.2,call,0.6391664944063183
1568.3407,160,1.225,call,0.2854604045660887
960.2086,170,0.75,put,12.063145492269717
992.2155,170,0.775,put,15.042106700536033
1024.2225,170,0.8,put,18.609147902049045
1056.2294,170,0.825,put,22.85233621339647
1088.2364,170,0.85,put,27.86902549268005
1120.2433,170,0.875,put,33.7667021205936
1152.2503,170,0.9,put,40.66417476244714
1184.2572,170,0.925,put,48.69342151027128
1216.2642,170,0.95,put,58.002701731213
1248.2711,170,0.975,put,68.76206823679307
1280.2781,170,1.0,call,69.73651468955866
1312.2851,170,1.025,call,52.06574827946952
1344.292,170,1.05,call,36.61726499089701
1376.299,170,1.075,call,23.79522726823113
1408.3059,170,1.1,call,14.020821359497418
1440.3129,170,1.125,call,7.461738506776298
1472.3198,170,1.15,call,3.673430418144123
1504.3268,170,1.175,call,1.735522478816878
1536.3337,170,1.2,call,0.8075343864655835
1568.3407,170,1.225,call,0.3746235314255813
960.2086,180,0.75,put,13.373259994270134
992.2155,180,0.775,put,16.526533636280785
1024.2225,180,0.8,put,20.271483202909927
1056.2294,180,0.825,put,24.692042723153026
1088.2364,180,0.85,put,29.880658448324446
1120.2433,180,0.875,put,35.939163085474405
1152.2503,180,0.9,put,42.980039905734465
1184.2572,180,0.925,put,51.12840271555373
1216.2642,180,0.95,put,60.52529881896178
1248.2711,180,0.975,put,71.33341747230406
1280.2781,180,1.0,call,71.64121711103925
1312.2851,180,1.025,call,53.91959151069911
1344.292,180,1.05,call,38.35496058734069
1376.299,180,1.075,call,25.337140454093866
1408.3059,180,1.1,call,15.277587514765719
1440.3129,180,1.125,call,8.371283417235786
1472.3198,180,1.15,call,4.25554709659279
1504.3268,180,1.175,call,2.0772362610973865
1536.3337,180,1.2,call,0.9989901044584337
1568.3407,180,1.225,call,0.47933357594119774
960.2086,190,0.75,put,14.701698980400838
992.2155,190,0.775,put,18.021711660643447
1024.2225,190,0.8,put,21.935752616333396
1056.2294,190,0.825,put,26.523948461779383
1088.2364,190,0.85,put,31.87429774130854
1120.2433,190,0.875,put,38.083577967305565
1152.2503,190,0.9,put,45.25867914578794
1184.2572,190,0.925,put,53.518695832883715
1216.2642,190,0.95,put,62.99837363315823
1248.2711,190,0.975,put,73.85392629173491
1280.2781,190,1.0,call,73.49842648236982
1312.2851,190,1.025,call,55.73360295146188
1344.292,190,1.05,call,40.06542900692035
1376.299,190,1.075,call,26.869404895508218
1408.3059,190,1.1,call,16.54589991248247
1440.3129,190,1.125,call,9.310543772863944
1472.3198,190,1.15,call,4.873538092614925
1504.3268,190,1.175,call,2.450303651285429
1536.3337,190,1.2,call,1.21389259785118
1568.3407,190,1.225,call,0.6002606650401455
960.2086,200,0.75,put,16.045011135170977
992.2155,200,0.775,put,19.524703139513072
1024.2225,200,0.8,put,23.59978125789122
1056.2294,200,0.825,put,28.346869758471044
1088.2364,200,0.85,put,33.849933385872234
1120.2433,200,0.875,put,40.20121849859582
1152.2503,200,0.9,put,47.50264920087455
1184.2572,200,0.925,put,55.868010982436374
1216.2642,200,0.95,put,65.42649803676218
1248.2711,200,0.975,put,76.32856617739364
1280.2781,200,1.0,call,75.31290273989748
1312.2851,200,1.025,call,57.51164246279185
1344.292,200,1.05,call,41.750977734055205
1376.299,200,1.075,call,28.392295842394166
1408.3059,200,1.1,call,17.824017717643134
1440.3129,200,1.125,call,10.276978504182116
1472.3198,200,1.15,call,5.525766266573856
1504.3268,200,1.175,call,2.8542838796602847
1536.3337,200,1.2,call,1.4525031324229205
1568.3407,200,1.225,call,0.7379755797750337
960.2086,210,0.75,put,17.400316369149436
992.2155,210,0.775,put,21.033129952300406
1024.2225,210,0.8,put,25.261894289934627
1056.2294,210,0.825,put,30.160013885782863
1088.2364,210,0.85,put,35.807790746146026
1120.2433,210,0.875,put,42.29339885008289
1152.2503,210,0.9,put,49.7143349821692
1184.2572,210,0.925,put,58.17967423460306
1216.2642,210,0.95,put,67.8136803179528
1248.2711,210,0.975,put,78.76163468246634
1280.2781,210,1.0,call,77.0887268352951
1312.2851,210,1.025,call,59.257013546713765
