s_ref,strike,maturity_days,moneyness,w,implied_vol,price,date
1280.2781,1113.8419,120,0.87,put,0.27783719394167916,21.394643475798816,2012-01-03
1280.2781,1126.6447,120,0.88,call,0.2735882627405028,169.022253326186,2012-01-03
1280.2781,1126.6447,120,0.88,put,0.2735882627405025,23.553913033234842,2012-01-03
1280.2781,1139.4475,120,0.89,call,0.2692863768609463,158.56626498538176,2012-01-03
1280.2781,1139.4475,120,0.89,put,0.2692863768609459,25.894065402422115,2012-01-03
1280.2781,1152.2503,120,0.9,call,0.2649273425980421,148.30293680178454,2012-01-03
1280.2781,1152.2503,120,0.9,put,0.2649273425980417,28.42687792881614,2012-01-03
1280.2781,1165.0531,120,0.91,call,0.26050573585817965,138.24456200118172,2012-01-03
1280.2781,1165.0531,120,0.91,put,0.2605057358581794,31.16464383820481,2012-01-03
1280.2781,1177.8559,120,0.92,call,0.2560163158035472,128.40396356964305,2012-01-03
1280.2781,1177.8559,120,0.92,put,0.25601631580354706,34.12018611665765,2012-01-03
1280.2781,1190.6586,120,0.93,call,0.2514527009095881,118.79451231407481,2012-01-03
1280.2781,1190.6586,120,0.93,put,0.25145270090958804,37.30687557108066,2012-01-03
